Country,Wave,S009,S020,A001,A002,A003,A004,A006,C001,C002,D059,D060,E035,E069_01,E069_02,E069_04,E069_05,E069_06,E069_07,E069_08,E069_10,E069_11,E069_12,E069_13,E069_14,E069_15,E069_17,E069_20,F034,F063,F114,F115,F116,F117,F118,F119,F120,F121,F122,F123,X045
Albania,4,AL,2002,1.04709418837675,1.85599194360524,2.4553752535497,2.95607763023493,2.26605504587156,1.75075987841945,1.32597266035752,2.47007616974973,3.2,5.95939086294416,2.16463414634146,2.46014877789586,2.81489141675284,2.92514619883041,2.25353535353535,2.65667011375388,2.79659090909091,2.45233265720081,2.38095238095238,2.98767967145791,2.625,2.72572815533981,2.77553444180523,NA,1.81798941798942,1.37277486910995,7.34111675126904,1.92315470171891,2.3477366255144,1.88324873096447,2.37903225806452,1.48062827225131,1.40752032520325,3.87731958762887,4.37040816326531,3.153125,1.70701932858596,3.60145681581686
Albania,3,AL,1998,1.04426559356137,1.94650205761317,2.57305699481865,3.09876543209877,2.26024590163934,1.57844183564568,1.01942740286299,2.30844155844156,3.04197271773347,4.88004136504654,2.38562753036437,2.32377049180328,3.00636267232238,3.1762349799733,2.0630081300813,2.38511326860841,3.01445086705202,2.8279792746114,2.61177753544166,2.94943240454076,2.95764272559853,3.42159763313609,2.8986568986569,2.35046248715313,1.6978021978022,1.5993756503642,7.07778915046059,6.12677595628415,2.14856557377049,2.31769722814499,2.4229576008273,1.78490990990991,1.97805642633229,5.74139728884254,5.87631027253669,3.14026602176542,2.11331133113311,3.62701612903226
Algeria,4,DZ,2002,1.05873140172279,1.79071597167585,2.04660347551343,2.52666119770304,1.09448818897638,1.4515873015873,1.21388667198723,1.9644921552436,2.91800643086817,8.08881839809675,1.51777059773829,2.11016225448335,2.58469055374593,3.06636771300448,2.20627062706271,2.96819787985866,2.38717735220649,2.64649681528662,2.52314049586777,3.30882352941176,2.70713623725672,NA,3.0707635009311,NA,3.38747731397459,1.77731092436975,9.81205951448708,3.01949634443542,2.50481540930979,2.01283079390537,1.46262785208497,1.25553797468354,1.24620303756994,1.76666666666667,5.03112529928172,1.66720257234727,1.22509803921569,3.41526104417671
Algeria,6,DZ,2013,1.10041841004184,1.76282590412111,2.05245346869712,2.71943711521548,1.11818943839061,1.60034453057709,NA,1.83840139009557,2.65112262521589,6.54882459312839,1.91525423728814,2.24269264836138,2.81363636363636,2.88498402555911,2.32541776605101,3.02087682672234,2.74202898550725,2.59502664298401,2.70190476190476,3.12994923857868,2.70137524557957,2.80446333687566,2.90266393442623,2.52153558052434,3.44895833333333,1.16540642722117,9.55914893617021,4.4311152764761,4.39553571428571,3.87773722627737,2.22735346358792,2.23479087452471,NA,2.56899641577061,4.17662565905097,2.39596700274977,2.36962247585601,3.14471243042672
Andorra,5,AD,2005,1.13958125623131,1.59240759240759,1.54735792622134,2.86472945891784,3.034,2.01198801198801,1.868,3.14547304170905,3.34434434434434,6.14357429718875,3.168,NA,2.719,2.94341563786008,2.40981963927856,NA,2.73440643863179,2.78564307078764,2.78383838383838,3.0625,2.83400402414487,2.35181451612903,2.28410256410256,2.74897959183673,2.71602434077079,1.67367367367367,5.35778894472362,2.7710843373494,2.87863590772317,2.42357642357642,1.4034034034034,8.24196787148594,5.63490471414243,7.02507522567703,8.72945891783567,7.47738693467337,3.82880161127895,2.96663296258847
Azerbaijan,6,AZ,2011,1.0748502994012,1.79141716566866,2.124750499002,2.92614770459082,2.03992015968064,1.37025948103792,1.25049900199601,2.1001001001001,2.75848303393214,5.88822355289421,2.72055888223553,1.97405189620758,2.60279441117764,2.6936127744511,2.34830339321357,2.23053892215569,2.28043912175649,2.36626746506986,1.82335329341317,2.67265469061876,2.44510978043912,2.63972055888224,2.57285429141717,2.38622754491018,2.87724550898204,1.72554890219561,9.75049900199601,1.52195608782435,1.42215568862275,1.51197604790419,1.31636726546906,1.19161676646707,1.28043912175649,2.9251497005988,3.19960079840319,2.27544910179641,1.39520958083832,2.66766766766767
Azerbaijan,3,AZ,1997,1.16624811652436,1.73336668334167,1.89156626506024,2.74094567404427,1.903242147923,1.44857881136951,1.20632452047693,2.00582627118644,2.67340590979782,5.89722222222222,2.17855198693522,2.41352201257862,2.93244680851064,2.87520706791828,2.60860097985847,2.07713651498335,2.66569936157864,2.80074587107086,1.70263016639828,2.44624277456647,2.74952561669829,3.27865168539326,3.24841772151899,2.57037427517132,2.9734219269103,1.12644889357218,8.66854219948849,2.42152466367713,3.04434829637642,3.61827956989247,2.86356340288925,1.40605095541401,1.58097686375321,4.37148913619502,4.25495307612096,3.43079584775086,1.87453874538745,2.98232323232323
Argentina,4,AR,1999,1.11806098514464,1.71518987341772,1.90119521912351,3.13432835820896,1.90330188679245,1.87331749802059,1.3751987281399,2.8,3.11038961038961,4.89911218724778,2.18547750591949,2.9505766062603,2.6650641025641,3.32387312186978,3.04940239043825,3.30756302521008,3.43481781376518,2.80714285714286,3.15241935483871,3.43548387096774,3.01172529313233,2.27454545454545,2.86034658511723,NA,2.71651376146789,1.1869387755102,8.48575949367089,2.6045197740113,2.42733017377567,1.88425196850394,1.26550079491256,4.33767361111111,3.37871287128713,2.62094155844156,5.46029173419773,4.06734867860188,1.99172870140612,3.60438667749797
Argentina,2,AR,1991,1.10179640718563,1.65697091273821,1.89001009081736,2.95180722891566,2.09638554216867,1.81275303643725,1.4601226993865,NA,NA,7.00515463917526,2.50499001996008,2.93512974051896,2.91317365269461,3.45409181636727,3.00099800399202,3.18463073852295,3.42814371257485,NA,NA,NA,3.02195608782435,NA,NA,2.99101796407186,NA,1.30593132154006,7.90593047034765,1.88073394495413,2.0978809283552,1.64141414141414,1.10141987829615,2.95383001049318,2.1358024691358,3.40142276422764,5.77119509703779,3.17584745762712,1.69811320754717,NA
Argentina,5,AR,2006,1.11111111111111,1.56927710843373,1.78002018163471,2.93454179254783,2.16096579476861,1.86489252814739,1.41862845445241,2.82981090100111,3.18997912317328,5.32854209445585,2.45638945233266,2.92654774396642,2.80309278350515,3.41077085533263,3.11043566362715,3.29092805005214,3.38335046248715,2.89581205311542,2.82854209445585,3.41573033707865,3.07309322033898,2.46092865232163,2.85076530612245,3.12778904665314,3.14037122969838,1.22755741127349,8.31520644511581,3.48116254036598,2.56404958677686,1.70195272353546,1.42988741044012,5.58657243816254,4.2271186440678,3.3554347826087,6.73218142548596,4.24632352941176,2.29770114942529,3.54031413612565
